type,price,datetime,prev_candle_idx,curr_candle_idx,prev_high,curr_high,prev_close,curr_close,retracement_pct,num_hits,num_reversals,strength_score,strength
resistance,22213.5,2024-04-16 10:00:00,965,966,22202.9,22213.5,22198.55,22191.4,0.09948904945190332,12,6,70.2,Very Strong
resistance,25062.75,2024-10-04 14:15:00,1138,1139,25062.75,25049.4,25045.4,25037.7,0.09994912768949646,93,7,70.2,Very Strong
resistance,22706.55,2024-04-09 13:00:00,873,874,22706.55,22700.0,22698.1,22683.55,0.10129235837236393,27,6,70.2,Very Strong
resistance,22491.35,2024-04-04 12:45:00,794,795,22472.5,22491.35,22467.75,22468.85,0.10003845922988172,22,3,70.2,Very Strong
resistance,22664.65,2024-04-12 10:00:00,913,914,22664.65,22660.95,22650.7,22641.7,0.1012590090736046,10,4,70.2,Very Strong
resistance,22429.05,2024-04-04 11:15:00,788,789,22421.8,22429.05,22417.45,22407.55,0.09585782723744429,28,4,70.19,Very Strong
resistance,23638.05,2025-03-26 12:45:00,1392,1393,23626.45,23638.05,23624.2,23615.2,0.09666618016290915,12,6,70.19,Very Strong
resistance,25000.1,2024-10-11 09:30:00,1249,1250,25000.1,24992.8,24986.75,24975.8,0.0971996112015523,40,3,70.19,Very Strong
resistance,22768.35,2024-04-09 10:45:00,864,865,22768.35,22760.75,22760.15,22746.95,0.09399012225303027,9,5,70.19,Very Strong
resistance,25822.6,2024-10-01 13:30:00,1083,1084,25816.75,25822.6,25813.55,25798.4,0.09371635698960248,27,4,70.19,Very Strong
resistance,22209.4,2024-04-16 10:30:00,967,968,22192.45,22209.4,22190.8,22188.35,0.0947796878799198,12,5,70.19,Very Strong
resistance,22715.25,2024-04-10 10:15:00,888,889,22708.15,22715.25,22707.3,22694.0,0.09354948767898218,18,4,70.19,Very Strong
resistance,22367.85,2024-03-28 10:45:00,682,683,22367.85,22364.95,22355.5,22346.45,0.09567303071148017,21,4,70.19,Very Strong
